会う
青
青い
赤
赤い
明るい
秋
開く
開ける
上げる
朝
朝御飯
足
遊ぶ
暖かい
頭
新しい
暑い
熱い
厚い
後
兄
姉
危ない
甘い
雨
飴
洗う
歩く
言う
家
行く
池
医者
忙しい
痛い
一
一日
五日
一緒
五つ
犬
今
意味
妹
嫌
入口
居る
要る
入れる
色
上
後ろ
薄い
歌
歌う
生まれる
海
売る
上着
絵
映画
映画館
英語
駅
鉛筆
多い
大きい
大きな
大勢
お母さん
お菓子
お金
起きる
置く
奥さん
お酒
お皿
伯父
叔父
教える
押す
遅い
お茶
お手洗い
お父さん
弟
男
男の子
大人
同じ
お兄さん
お姉さん
伯母さん
叔母さん
お風呂
お弁当
覚える
重い
泳ぐ
降りる
終る
音楽
女
女の子
外国
外国人
会社
階段
買い物
買う
返す
帰る
顔
書く
学生
傘
貸す
風
風邪
方
家族
片仮名
学校
家庭
角
花瓶
紙
火曜日
辛い
体
借りる
軽い
川
河
側
漢字
木
黄色
黄色い
消える
聞く
北
汚い
喫茶店
切手
切符
昨日
九
牛肉
牛乳
今日
教室
兄弟
去年
嫌い
切る
着る
銀行
金曜日
九
薬
果物
口
靴
靴下
国
曇り
曇る
暗い
来る
車
黒
黒い
警官
今朝
消す
結構
結婚
月曜日
玄関
元気
五
公園
交差点
紅茶
交番
声
午後
九日
九つ
午前
答える
今年
言葉
子供
御飯
困る
今月
今週
今晩
財布
魚
先
咲く
作文
差す
雑誌
砂糖
寒い
さ来年
三
散歩
四
塩
時間
仕事
辞書
静か
下
七
質問
自転車
自動車
死ぬ
字引
自分
閉まる
閉める
締める
写真
十
授業
宿題
上手
丈夫
食堂
知る
白
白い
新聞
水曜日
吸う
好き
少ない
少し
涼しい
住む
座る
背
生徒
石鹸
背広
狭い
千
先月
先週
先生
洗濯
全部
掃除
外
空
大学
大使館
大丈夫
大好き
大切
台所
高い
高い
出す
立つ
建物
楽しい
頼む
食べ物
食べる
卵
誰
誰か
誕生日
小さい
小さな
近い
違う
近く
地下鉄
地図
父
茶色
一日
使う
疲れる
次
着く
机
作る
勤める
冷たい
強い
手
出かける
手紙
出口
出る
天気
電気
電車
電話
戸
動物
十
遠い
十日
時々
時計
所
年
図書館
隣
飛ぶ
止まる
友達
土曜日
鳥
取る
撮る
中
長い
鳴く
無くす
夏
夏休み
七つ
何
七日
名前
習う
並ぶ
並べる
二
肉
西
日曜日
荷物
庭
脱ぐ
温い
猫
寝る
登る
飲み物
飲む
乗る
歯
灰皿
入る
葉書
箱
橋
始まる
初め
始め
初めて
走る
二十歳
働く
八
二十日
花
鼻
話
話す
母
早い
速い
春
貼る
晴れ
晴れる
半
晩
番号
晩御飯
半分
東
引く
弾く
低い
飛行機
左
人
一つ
一月
一人
暇
百
病院
病気
平仮名
昼
昼御飯
広い
封筒
吹く
服
二つ
豚肉
二人
二日
太い
冬
降る
古い
文章
下手
部屋
辺
勉強
便利
帽子
外
欲しい
細い
本
本棚
毎朝
毎月
毎週
毎日
毎年
毎晩
前
曲る
町
待つ
窓
丸い
円い
万
万年筆
磨く
右
短い
水
店
見せる
道
三日
三つ
緑
皆さん
南
耳
見る
六日
向こう
難しい
六つ
村
目
眼鏡
木曜日
持つ
物
門
問題
屋
八百屋
野菜
易しい
安い
休み
休む
八つ
山
夕方
夕飯
郵便局
昨夜
有名
雪
八日
洋服
横
四日
四つ
呼ぶ
読む
夜
弱い
来月
来週
来年
留学生
両親
料理
旅行
零
冷蔵庫
練習
廊下
六
若い
分かる
忘れる
私
私
渡す
渡る
悪い
